,Date,Trade Volume,Opening Price,Highest Price,Lowest Price,Closing Price,Transaction
0,103/07/01,"972,534",57.20,58.20,56.90,57.90,613
1,103/07/02,"803,988",58.30,58.70,57.30,57.30,559
2,103/07/03,"390,712",57.20,57.80,57.20,57.40,276
3,103/07/04,"564,908",57.60,57.90,57.20,57.40,367
4,103/07/07,"492,627",57.70,57.90,56.60,56.60,364
5,103/07/08,"2,221,096",56.50,57.20,56.50,57.00,384
6,103/07/09,"5,264,568",57.00,57.30,56.00,56.50,927
7,103/07/10,"7,077,395",54.50,55.40,54.20,54.70,912
8,103/07/11,"1,134,190",54.30,54.50,52.20,52.70,654
9,103/07/14,"1,184,836",52.50,54.30,52.00,53.30,706
10,103/07/15,"749,256",53.10,53.70,52.60,52.80,467
11,103/07/16,"966,672",52.80,52.80,51.90,52.00,547
12,103/07/17,"728,654",51.50,52.00,51.50,51.70,446
13,103/07/18,"544,483",51.10,52.30,51.10,51.60,278
14,103/07/21,"1,466,057",51.60,52.10,50.60,50.60,731
15,103/07/22,"1,387,074",50.20,50.80,50.20,50.40,799
16,103/07/24,"1,294,470",50.60,51.50,50.30,50.80,715
17,103/07/25,"1,302,858",50.80,51.10,50.10,50.40,547
18,103/07/28,"1,919,874",50.80,51.80,50.60,51.20,"1,174"
19,103/07/29,"1,580,034",51.70,51.70,49.60,49.75,979
20,103/07/30,"879,128",49.80,51.20,49.80,51.20,587
21,103/07/31,"520,027",51.40,51.50,50.50,50.90,326
