,classify,feature,1-open,1-high,1-low,1-close,1-volume,1-adj close,2-open,2-high,2-low,2-close,2-volume,2-adj close,3-open,3-high,3-low,3-close,3-volume,3-adj close
0,1,0.5646640655959758,64.15,64.55,63.80,64.00,19670686,64.00,66.10,66.45,65.70,66.00,15003660,65.95,65.80,66.05,65.70,65.70,8106253,65.70
1,-2,0.24891478097102024,66.10,66.45,65.70,66.00,15003660,65.95,65.80,66.05,65.70,65.70,8106253,65.70,66.25,66.25,65.70,66.10,11314185,66.05
2,1,0.16884707705340235,65.80,66.05,65.70,65.70,8106253,65.70,66.25,66.25,65.70,66.10,11314185,66.05,66.65,66.70,66.15,66.65,6657762,66.60
3,-1,-0.4420629561850481,66.25,66.25,65.70,66.10,11314185,66.05,66.65,66.70,66.15,66.65,6657762,66.60,65.80,66.70,65.60,66.70,16238916,66.65
4,-1,-0.711171006765911,66.65,66.70,66.15,66.65,6657762,66.60,65.80,66.70,65.60,66.70,16238916,66.65,65.00,65.75,64.90,65.50,11487395,65.50
5,-1,-0.06240612923638027,65.80,66.70,65.60,66.70,16238916,66.65,65.00,65.75,64.90,65.50,11487395,65.50,65.05,65.65,64.85,65.50,17507959,65.45
6,1,-0.8007926668148945,65.00,65.75,64.90,65.50,11487395,65.50,65.05,65.65,64.85,65.50,17507959,65.45,65.30,65.65,64.65,65.30,20703888,65.25
7,1,0.018003165440740578,65.05,65.65,64.85,65.50,17507959,65.45,65.30,65.65,64.65,65.30,20703888,65.25,65.65,65.70,65.20,65.40,17179426,65.40
8,1,-0.1222569661995407,65.30,65.65,64.65,65.30,20703888,65.25,65.65,65.70,65.20,65.40,17179426,65.40,65.50,65.85,65.25,65.60,23172009,65.60
9,-1,-0.3595761188833073,65.65,65.70,65.20,65.40,17179426,65.40,65.50,65.85,65.25,65.60,23172009,65.60,66.70,66.85,65.70,65.95,23056032,65.90
10,-1,-0.10186459263860938,65.50,65.85,65.25,65.60,23172009,65.60,66.70,66.85,65.70,65.95,23056032,65.90,66.55,66.80,66.30,66.55,25198120,66.55
11,-1,0.35567690901717625,66.70,66.85,65.70,65.95,23056032,65.90,66.55,66.80,66.30,66.55,25198120,66.55,66.90,67.00,66.65,66.80,14803800,66.75
12,-1,-0.08203586421916406,66.55,66.80,66.30,66.55,25198120,66.55,66.90,67.00,66.65,66.80,14803800,66.75,67.35,67.35,66.55,66.95,27057800,66.90
13,-1,0.16283546802122004,66.90,67.00,66.65,66.80,14803800,66.75,67.35,67.35,66.55,66.95,27057800,66.90,68.20,68.25,67.85,68.00,12117026,67.95
14,-1,0.3897114565704412,67.35,67.35,66.55,66.95,27057800,66.90,68.20,68.25,67.85,68.00,12117026,67.95,67.70,68.05,67.60,67.85,16231841,67.80
15,-1,-0.3623006221060728,68.20,68.25,67.85,68.00,12117026,67.95,67.70,68.05,67.60,67.85,16231841,67.80,67.50,68.20,67.45,67.70,16515909,67.65
